timestamp,open,high,low,close,volume
2022-10-24 17:59:47,152.57,152.58,151.25,152.24,30668150
2022-10-25 17:59:47,149.13,150.27,148.71,149.7,28458875
2022-10-26 17:59:47,150.44,152.53,148.73,149.63,26596821
2022-10-27 17:59:47,148.77,148.9,148.03,148.37,21417121
2022-10-28 17:59:47,149.44,149.62,148.65,149.01,23494228
2022-10-31 17:59:47,151.46,151.76,149.72,151.24,40191417
2022-11-01 17:59:47,150.38,150.44,149.98,150.04,16424715
2022-11-02 17:59:47,151.95,153.13,150.54,151.87,19046210
2022-11-03 17:59:47,152.88,153.68,152.74,152.74,26602069
2022-11-04 17:59:47,151.71,152.05,151.06,151.47,48102826
2022-11-07 17:59:47,151.82,151.97,151.63,151.64,30436834
2022-11-08 17:59:47,154.16,155.57,152.1,152.93,17696373
2022-11-09 17:59:47,151.18,151.59,149.67,151.31,36714418
2022-11-10 17:59:47,149.53,150.36,148.8,149.9,16678655
2022-11-11 17:59:47,148.11,149.87,147.85,147.87,41696095
2022-11-14 17:59:47,143.65,144.95,142.03,144.21,17134510
2022-11-15 17:59:47,143.62,144.6,143.6,143.61,9096929
2022-11-16 17:59:47,143.67,144.51,142.71,143.88,29298968
2022-11-17 17:59:47,142.52,143.34,142.44,142.51,37599289
2022-11-18 17:59:47,144.72,145.28,144.71,144.97,36526537
2022-11-21 17:59:47,138.84,139.83,137.83,138.69,37953686
2022-11-22 17:59:47,140.72,141.08,139.75,139.79,26832842
2022-11-23 17:59:47,139.88,140.01,139.17,139.79,20904386
2022-11-24 17:59:47,140.33,141.83,138.44,139.58,42176835
2022-11-25 17:59:47,137.14,138.34,136.06,136.86,30272630
2022-11-28 17:59:47,137.49,138.76,137.0,137.86,22997876
2022-11-29 17:59:47,134.28,135.56,133.35,134.93,31659306
2022-11-30 17:59:47,132.81,133.25,131.99,132.92,7473783
2022-12-01 17:59:47,133.13,133.17,132.83,133.02,43620576
2022-12-02 17:59:47,134.35,134.54,133.81,134.28,7187023
2022-12-05 17:59:47,131.71,132.56,130.15,131.13,43676414
2022-12-06 17:59:47,132.03,132.99,131.32,131.41,32190210
2022-12-07 17:59:47,131.78,132.19,131.23,131.52,38995742
2022-12-08 17:59:47,137.86,139.16,137.71,137.99,14402434
2022-12-09 17:59:47,137.94,138.78,137.52,137.99,31939960
2022-12-12 17:59:47,136.54,138.09,135.92,136.37,11510257
2022-12-13 17:59:47,137.48,138.28,136.21,137.48,13292619
2022-12-14 17:59:47,139.59,139.89,138.85,139.1,29764696
2022-12-15 17:59:47,143.4,144.82,142.05,143.73,27362335
2022-12-16 17:59:47,146.07,147.12,145.38,146.14,12497337
2022-12-19 17:59:47,147.66,148.49,146.61,147.14,29228390
2022-12-20 17:59:47,148.45,148.79,147.25,148.6,34659733
2022-12-21 17:59:47,148.69,149.8,147.57,148.38,41946223
2022-12-22 17:59:47,146.08,147.0,145.94,146.2,37636392
2022-12-23 17:59:47,150.63,152.2,150.62,150.87,7629305
2022-12-26 17:59:47,149.3,151.05,148.49,149.23,25209694
2022-12-27 17:59:47,150.8,151.48,150.31,150.32,42583491
2022-12-28 17:59:47,148.26,148.56,146.81,148.02,5804716
2022-12-29 17:59:47,146.75,146.91,146.11,146.37,49463934
2022-12-30 17:59:47,144.64,145.66,144.61,145.27,38909785
2023-01-02 17:59:47,144.93,145.57,144.11,145.14,20499316
2023-01-03 17:59:47,148.64,148.8,147.74,148.52,20047690
2023-01-04 17:59:47,146.54,147.68,146.4,146.54,38346737
2023-01-05 17:59:47,149.05,150.11,148.67,148.79,33759825
2023-01-06 17:59:47,148.66,149.57,148.12,148.73,11681895
2023-01-09 17:59:47,151.97,153.07,151.21,151.28,33877106
2023-01-10 17:59:47,150.25,151.15,149.2,150.06,26687447
2023-01-11 17:59:47,150.39,151.06,148.34,149.38,32655530
2023-01-12 17:59:47,144.32,145.05,142.33,144.21,6464265
2023-01-13 17:59:47,143.65,144.16,143.09,143.63,39239649
2023-01-16 17:59:47,139.06,140.03,138.01,139.42,48770331
2023-01-17 17:59:47,139.29,139.58,138.64,138.94,36935833
2023-01-18 17:59:47,134.28,135.19,133.82,134.83,15560393
2023-01-19 17:59:47,133.9,135.43,133.66,134.4,12257893
2023-01-20 17:59:47,135.47,135.96,134.22,135.65,7614649
2023-01-23 17:59:47,137.88,137.99,137.39,137.94,37709218
2023-01-24 17:59:47,139.52,139.79,139.12,139.44,38310319
2023-01-25 17:59:47,139.53,140.42,138.7,140.03,47014252
2023-01-26 17:59:47,138.48,138.75,137.9,138.65,7863061
2023-01-27 17:59:47,136.72,137.44,136.5,136.69,20742316
2023-01-30 17:59:47,130.83,132.69,129.54,131.27,25863747
2023-01-31 17:59:47,132.01,132.64,131.68,132.45,38691372
2023-02-01 17:59:47,132.79,132.84,132.42,132.84,27797589
